Food Product,Moisture,Protein,Fat,Total Carbohydrates,Sugars,Dietary Fiber,Crude Fiber,Ash,FRAP_value
"Common bean, Solid black, PI-201374, seeds, raw",13.3,16.473,1.2138,61.48584164705882,12.2247,14.948063392156865,4.651632294117647,3.7281,25.54
"Common bean, Solid black, PI-310711, seeds, raw",12.1,20.9202,1.2306,56.22649570588235,6.328800000000001,17.372542607843137,4.847757941176471,1.8459,28.38
"Common bean, Solid black, PI-345576, seeds, raw",11.1,28.9814,0.889,53.58916235294118,8.0899,13.603489078431371,4.648243176470588,3.733800000000001,26.77
"Common bean, Solid tan (brown), PI-370569, seeds, raw",9.9,23.6963,1.4416,57.38034941176471,20.5428,13.266194064992382,3.8114964705882346,1.802,27.6
"Common bean, Solid tan, PI-379435, seeds, raw",10.7,18.0386,1.1609,60.94087705882352,12.5913,15.105739964717005,5.285662647058824,1.6967,24.96
"Common bean, Beige, PI-414831, seeds, raw",10.1,19.1487,1.1687,60.02916529411765,18.0699,15.225700631383672,5.005075941176471,3.596,24.98
"Common bean, Light brown with dark stripes, PI-176712, seeds, raw",12,19.536,1.056,57.429652823529416,6.864,17.497175960784315,5.115462647058823,2.816,27.7
"Common bean, Brown with purple stripes, PI-177761, seeds, raw",12.4,19.0092,0.9636,57.74782147058824,5.1684,18.131386666666664,5.749374411764706,3.4164,39.99
"Common bean, Tan with purple speckles, PI-177763, seeds, raw",10.3,21.1692,0.9867,57.67393617647059,5.830500000000001,15.690916247470229,4.817574352941176,3.588,34.11
"Common bean, Tan with dark speckles, PI-205211, seeds, raw",12.6,19.3154,0.9614,57.19378105882353,7.166799999999999,18.34865929411765,5.242880294117647,3.496,34.63
"Common bean, Light brown, PI-206003, seeds, raw",7.7,25.4748,1.4768,54.84016252941177,7.2917,11.698834592652773,3.3065705882352945,4.5227,36.52
"Common bean, Brown, tan and Mahogany, PI-206971, seeds, raw",10.3,17.4018,4.7541,53.49080752941177,13.2756,13.53845968627451,4.972061764705882,1.0764,22.12
