moisture,protein,fat,ash,crude_fiber,total_carbohydrates,dietary_fiber,sugars,FRAP
11.3,21.3767,1.4192,3.548,4.446034824,56.23903476,14.23024365,18.0948,27.83
11.3,21.9089,1.774,3.9028,4.362445294,56.55705065,14.88689902,13.2163,31.64
8.8,25.1712,0.912,4.2864,3.596289412,55.49976018,13.03475482,5.6544,34.84
14.8,22.7484,0.9372,3.9192,3.734223824,54.43633547,15.61978343,9.372,30.16
9.3,22.2215,1.9954,1.7233,3.926368471,58.94643147,13.43310465,11.0654,37.96
13.6,19.2672,1.2096,3.3696,4.665954176,57.18615753,15.60570229,12.2688,38.36
10.7,19.3781,1.0716,4.0185,5.040887706,59.63968412,16.35509471,10.8946,31.19
10.5,19.4215,0.9845,3.401,5.018246529,59.55546059,15.63578445,12.2615,33.7
12.2,19.8428,0.878,3.8632,5.199539294,57.07558812,16.29629394,10.7116,39.82
11,24.208,0.89,2.047,3.884797412,55.10403929,13.79194935,9.434,31.81
11.7,19.0728,1.5011,1.8543,5.363299412,58.96491206,18.24864157,5.6512,23.4
9.6,18.8936,1.0848,3.9776,4.895976471,60.46975835,15.6918367,10.4864,34.32
11.8,23.7258,2.4696,3.4398,4.065752176,53.69927653,14.31536008,9.4374,30.35
11.5,19.116,1.1505,3.717,5.793250882,58.938405,17.9192298,5.31,31.74
8.6,22.85,1.2796,2.285,4.119287882,58.19342118,12.28026706,5.6668,31.56
9.698823529,20.165,1.295,4.255,3.7,63.085,20.13985646,6.958890882,12.62
10.13647059,20.8992,1.7727,3.9186,4.1985,62.511,20.16673213,6.943708294,28.96
10.24843137,20.7675,1.1999,3.5997,4.9842,61.7487,19.86569361,6.943708294,39.24
9.310784314,21.9936,2.4128,4.4544,4.176,59.7632,20.11234245,7.561778412,18.12
10.71588235,20.4268,2.5648,3.5724,4.3968,60.6392,20.21739146,7.664246412,17.21
10.11,21.2245,2.244,3.4595,4.114,62.458,20.04102001,7.287307824,15.41
10.15411765,24.8746,2.245,2.694,8.531,51.4554,15.09515774,6.609458824,43.47
10,22.7,1.898053176,3.5,5.1,57.7,19.14971248,8.711420235,33.01
10,21.3,1.539623706,4.5,8.2,54.8,18.87001301,8.220290824,39.77
12.27,32.670652,8.264166,2.640673,8.483491,46.7583,15.88609718,4.726082353,46.52
8.32,29.52096,5.45496,2.42952,14.85216,42.66913312,13.75136853,5.155894118,40.96
4.9,41.77743,8.33076,3.29997,5.530253588,35.14292353,16.85172,4.966635294,43.39
4.3,41.78262,6.99567,4.08639,5.530253588,38.21977059,20.16399,4.966635294,42.65
6,32.6744,5.734,3.6096,4.641835,38.05585294,19.646,5.101929412,30.38
5.1,40.25658,7.18393,3.45436,5.530253588,38.21977059,23.37387,5.727658824,32.55
4,40.2816,6.192,2.976,5.248377118,38.21977059,26.8128,6.584529412,40.95
10.9,26.4627,1.4256,3.2967,7.23492,49.83722535,13.48794282,5.142595882,37.15
11.16,27.80692,1.3326,2.93172,8.555292,49.73902429,14.91805361,5.142595882,30.74
12.91,24.12393,1.56762,2.96106,6.636258,49.14811824,13.51505782,8.358892588,25.59
12.98,19.49248,1.7404,3.39378,7.283574,55.21074176,17.65060235,6.461120294,24.12
13.29,22.97815,1.64749,2.94814,7.587125,51.38844459,14.06178602,7.952415941,40.43
10.4,20.3,1.3,3.1,9.8,55,18.33805223,8.685614353,21.2
10.4,18.5,2.9,3,7.2,58,20.15403487,6.378535294,47.54
10.3,15.4284,0.43953,3.8571,5.9202,65.73285376,11.12213188,5.0232,26.47
10.5,15.752,0.43855,3.759,6.7125,65.03549435,12.27437894,4.5645,25.16
10.4,16.128,0.46592,3.9424,6.4512,62.39505024,12.27437894,4.8384,32.77
10.6,15.1086,0.41124,3.9336,5.6322,66.706886,11.12213188,4.3806,22.93
12.3,22.1004,0.63144,2.8064,5.231599176,50.0767,17.63438596,8.270390647,25.79
11.7,23.3995,0.59161,3.47902,5.087171529,43.7968,19.29706202,8.736533765,44.56
11.4,22.0614,2.29474,3.33136,4.945525529,43.5912,20.33245825,7.808416118,39.71
10.34,17.2,3.292037176,4.4,6.64,52.89240906,18.82700571,5.6,28.15
10.36,17.5,3.060662118,4.42,7.72,51.60437165,20.87561547,5.6,33.06
10.49,18.5,3.514632118,4.18,7.45,52.62683635,21.39910286,4.8,22.37
10.6,18.1,2.778685647,4.47,6.8,53.58973188,20.67557345,5.1,24.67
10.28,18.1,3.406736824,4.42,6.84,53.36902894,20.55434113,5,34.78
10.81,20.6,2.821018882,3.36,4.86,57.15673341,18.11050929,5.9,27.61
11.07,20.2,2.669370471,3.64,7.19,54.72389776,17.44874327,3.3,29.2
11.57,21.57692,0.663225,3.669845,4.726445118,57.412618,21.178985,5.376544,36.96
12.96,20.28032,0.73984,4.056064,5.060423941,58.60582876,20.619776,4.804608,31.57
13.51,19.20078,0.882198,4.142871,5.011041588,58.71399159,20.281905,5.639148,19.64
13.29,20.37685,0.919126,3.884608,4.752960706,57.93472288,22.076366,6.581289,35.73
10.7,27.5,2.5,3.8,4.6,50.9,14.43266643,5.807070588,37.05
13,25.3,2,3.3,3.3,53.2,14.28519784,8.752326118,22.52
11.5,28,2.7,3.2,4.1,50.6,14.43266643,5.807070588,36.48
11.6,27.1,2.8,4.1,4.1,50.4,14.43266643,5.807070588,39.3
10.8,30.2,1.9,4.3,4.3,48.7,14.08291635,5.842364706,30.5
9.27,23.53,1.51,3.27,2.27,60.16,18.3639803,6.948847059,24.43
9.32,24.46,5.93,3.37,2.51,54.43,16.27438576,5.062782353,27.21
2.7,23.17,0.21,2.78,3.646963529,54.55861176,18.4,4.48,30.98
9.7,22.04,2.7,1.3,2.2,62.06,19.31441837,8.232294118,25.68
14.03,22.06,2.02,3.97,2.31,55.63,18.00939778,8.327840529,34.46
14.02,25.01,3.05,4.31,1.98,51.64,13.77765331,9.285284765,44
